id,latitude,longitude,demand
1,6.330313,-75.557731,8
2,6.324341,-75.564802,9
3,6.339078,-75.56404,1
4,6.165313,-75.621337,2
5,6.08673,-75.634566,8
6,6.23477,-75.572848,4
7,6.28661,-75.574179,10
8,6.242055,-75.618542,7
9,6.349485,-75.505182,4
10,6.148166,-75.621836,8
11,6.375113,-75.449558,7
12,6.166892,-75.580128,9
13,6.171281,-75.613242,6
14,6.157163,-75.64302,9
15,6.244572,-75.56986,9
16,6.168454,-75.581989,2
17,6.43651,-75.333209,7
18,6.276585,-75.564804,4
19,6.269267,-75.5653,1
20,6.265182,-75.566348,9
21,6.265161,-75.575066,6
22,6.259663,-75.578812,4
23,6.25649,-75.581024,9
24,6.253003,-75.582687,3
25,6.253349,-75.587692,1
26,6.249014,-75.588585,6
27,6.244998,-75.589188,10
28,6.260004,-75.585136,1
29,6.258628,-75.597366,5
30,6.271922,-75.591324,7
31,6.2434627,-75.5746534,7
32,6.245383,-75.584008,8
33,6.239151,-75.583073,2
34,6.24597,-75.593812,1
35,6.231326,-75.591538,7
36,6.21553,-75.593096,3
37,6.151631,-75.615623,3
38,6.1568288,-75.616668,2
39,6.258327,-75.594235,9
40,6.245512,-75.577011,1
41,6.242481,-75.573872,5
42,6.2426281,-75.5756351,5
43,6.246078,-75.571561,6
44,6.245322,-75.576857,9
45,6.245062,-75.597297,8
46,6.243337,-75.58609,9
47,6.262605,-75.58895,4
48,6.245594,-75.571763,9
49,6.242021,-75.596746,3
50,6.250576,-75.574814,2
51,6.248949,-75.583459,5
52,6.232526,-75.587564,3
53,6.250549,-75.594719,2
54,6.241859,-75.591929,6
55,6.262189,-75.595039,8
56,6.246906,-75.596625,6
57,6.149014,-75.580527,8
58,6.243788,-75.595409,3
59,6.252601,-75.590333,5
60,6.2253,-75.572449,1
61,6.260481,-75.567179,5
62,6.23055,-75.574373,7
63,6.231811,-75.582953,7
64,6.245576,-75.586801,10
65,6.22851,-75.574658,8
66,6.220012,-75.575431,2
67,6.222324,-75.572961,3
68,6.255589,-75.579259,2
69,6.236338,-75.573291,8
70,6.22378,-75.574966,8
71,6.222392,-75.592235,5
72,6.231406,-75.577222,7
73,6.251826,-75.568796,9
74,6.260703,-75.57858,9
75,6.24655,-75.569954,9
76,6.26337958,-75.59509188,3
77,6.22006,-75.5714,8
78,6.245546,-75.580543,9
79,6.26043075,-75.58616817,6
80,6.222081,-75.571117,2
81,6.24841132,-75.56905568,2
82,6.25004308,-75.56840926,10
83,6.25066699,-75.56807131,7
84,6.23525042,-75.59647322,3
85,6.23988984,-75.58665901,1
86,6.23857801,-75.59041411,2
87,6.23858334,-75.58617622,2
88,6.23461583,-75.57196051,2
89,6.2324403,-75.5827099,1
90,6.2322912,-75.5912673,8
91,6.2746335,-75.5747124,4
92,6.1780736,-75.601941,8
93,6.1791583,-75.5876532,2
94,6.1981866,-75.5841119,7
95,6.158458,-75.6091506,1
96,6.2734736,-75.5645262,6
97,6.2381648,-75.5752817,8
98,6.2393272,-75.5870958,9
99,6.272067,-75.5735215,5
100,6.2412039,-75.5703043,3
101,6.2687809,-75.5756753,8
102,6.21319849,-75.57963331,4
103,6.21694387,-75.58904028,4
104,6.2214943,-75.58737895,10
105,6.22207821,-75.58760967,4
106,6.21958472,-75.58669276,7
107,6.21273371,-75.58817587,1
108,6.22868067,-75.57745012,10
109,6.21866775,-75.58035562,9
110,6.21873946,-75.58636147,3
111,6.21826526,-75.58642992,4
112,6.22910328,-75.58467571,4
113,6.21735209,-75.57992544,9
114,6.21740253,-75.58799574,4
115,6.20243321,-75.58355121,10
116,6.20055846,-75.58560825,10
117,6.1959737,-75.58293042,4
118,6.28844874,-75.6140383,4
119,6.23489765,-75.58742216,8
120,6.23259453,-75.58398256,2
121,6.21354835,-75.59774353,8
122,6.21770675,-75.59831993,3
123,6.23601846,-75.58007284,10
124,6.23193072,-75.60982873,5
125,6.23286338,-75.60526388,3
126,6.23613814,-75.60519126,6
127,6.20355792,-75.60156795,9
128,6.20908614,-75.60126517,3
129,6.22909357,-75.59863633,10
130,6.23041694,-75.59698497,6
131,6.21826783,-75.59888716,9
132,6.22530115,-75.59974963,1
133,6.21445297,-75.59669556,1
134,6.23543257,-75.60249909,8
135,6.23381725,-75.60383288,4
136,6.22950918,-75.60846859,4
137,6.21688521,-75.59494651,4
138,6.21836605,-75.60099625,4
139,6.21252038,-75.60111198,4
140,6.2107448,-75.6016945,8
141,6.22646448,-75.59357983,1
142,6.22490946,-75.59244553,4
143,6.22531227,-75.59907732,8
144,6.22209819,-75.60822811,8
145,6.2223335,-75.59237993,5
146,6.2138312,-75.59392659,7
147,6.20392929,-75.60676169,7
148,6.21204054,-75.57552751,3
149,6.21483388,-75.57158825,9
150,6.21051841,-75.57131117,6
151,6.21530574,-75.57102858,6
152,6.18508615,-75.57892603,8
153,6.18102666,-75.5690756,8
154,6.21183508,-75.5776619,7
155,6.21240311,-75.57758342,3
156,6.19291193,-75.58169063,10
157,6.19388372,-75.58134178,7
158,6.20843332,-75.57815377,7
159,6.19597488,-75.57864387,7
160,6.2143952,-75.57629854,4
161,6.22155106,-75.57462329,4
162,6.22354652,-75.56932956,5
163,6.19011201,-75.57694839,4
164,6.19722958,-75.57474825,5
165,6.21006971,-75.56781402,6
166,6.20845796,-75.55358663,9
167,6.21796309,-75.56550315,2
168,6.23035592,-75.57354342,8
169,6.21506284,-75.57660969,7
170,6.20358862,-75.57635073,4
171,6.19285117,-75.58091868,4
172,6.18407143,-75.57966192,6
173,6.26199076,-75.60422443,3
174,6.24542939,-75.61718163,10
175,6.25729655,-75.61516458,6
176,6.25451868,-75.62034469,1
177,6.2420569,-75.61367646,10
178,6.26415921,-75.60338469,5
179,6.25845291,-75.60359837,3
180,6.25145019,-75.61411961,6
181,6.24611039,-75.59306189,6
182,6.25943785,-75.58447836,3
183,6.24442812,-75.58974526,5
184,6.26598697,-75.59115874,10
185,6.26436945,-75.58922522,1
186,6.24537658,-75.58860312,5
187,6.24537352,-75.5844093,4
188,6.24587143,-75.60121709,2
189,6.25740247,-75.59172958,9
190,6.25675587,-75.59179526,2
191,6.25363371,-75.58795448,6
192,6.25524608,-75.58271936,2
193,6.24623331,-75.60245141,4
194,6.24569388,-75.60241451,4
195,6.25626894,-75.58281221,4
196,6.25300307,-75.58360577,3
197,6.24904159,-75.58477632,4
198,6.24640999,-75.60020255,5
199,6.24098243,-75.5862238,4
200,6.2399952,-75.58709071,1
201,6.24055723,-75.58788938,2
202,6.24690175,-75.56681202,1
203,6.22837347,-75.57032692,7
204,6.24660421,-75.56979656,6
205,6.24857501,-75.56126221,5
206,6.26037627,-75.56129195,8
207,6.2613561,-75.56090191,2
208,6.25327778,-75.5637273,7
209,6.26099873,-75.56749853,10
210,6.25360832,-75.56275767,9
211,6.25751535,-75.56463756,6
212,6.2582568,-75.57410281,1
213,6.25363327,-75.56940113,10
214,6.25644476,-75.57399276,5
215,6.24452862,-75.57643052,5
216,6.24325909,-75.57563879,9
217,6.24384097,-75.57562492,1
218,6.25463295,-75.57487452,1
219,6.2460996,-75.57346645,3
220,6.2525049,-75.56944207,2
221,6.25014518,-75.57054976,10
222,6.24429862,-75.57169207,7
223,6.26122618,-75.56546128,1
224,6.25683007,-75.56612458,9
225,6.25409172,-75.56713642,9
226,6.2601004,-75.56496451,2
227,6.26327446,-75.56325265,1
228,6.26147932,-75.56169704,7
229,6.25545417,-75.56451368,6
230,6.25587996,-75.56311092,5
231,6.25491772,-75.56381425,1
232,6.24951382,-75.56660145,9
233,6.23459963,-75.57299127,5
234,6.24904065,-75.56589827,7
235,6.24881213,-75.56519769,10
236,6.24096682,-75.5691767,1
237,6.2533773,-75.56147327,5
238,6.24662746,-75.56503925,5
239,6.24584892,-75.56556996,10
240,6.23529971,-75.57038984,2
241,6.23623657,-75.56933167,6
242,6.23016993,-75.56867174,1
243,6.26328757,-75.56938077,2
244,6.2617577,-75.5663737,1
245,6.2542109,-75.56314773,5
246,6.25480879,-75.56604372,5
247,6.25661321,-75.57337158,8
248,6.24779698,-75.55783203,8
249,6.25266933,-75.56720584,8
250,6.2521361,-75.56704261,2
251,6.24926621,-75.56539725,5
252,6.24876788,-75.56642602,1
253,6.24795653,-75.56469822,9
254,6.24933664,-75.57266315,4
255,6.24730681,-75.56728035,10
256,6.24562408,-75.56417002,8
257,6.24500765,-75.56295095,10
258,6.24739872,-75.570189,6
259,6.24604949,-75.57071228,7
260,6.24395193,-75.57727056,9
261,6.24232859,-75.57726125,7
262,6.23803464,-75.56973107,5
263,6.23674964,-75.56893592,3
264,6.23472996,-75.56980165,10
265,6.2370743,-75.56060674,8
266,6.24336318,-75.55685337,10
267,6.24203923,-75.55361032,2
268,6.23839019,-75.54787,3
269,6.25503553,-75.55629847,6
270,6.2585384,-75.55208977,4
271,6.25568436,-75.55622185,8
272,6.2734339,-75.59344879,6
273,6.27325216,-75.58839,9
274,6.27804711,-75.58235529,1
275,6.28890439,-75.59541259,1
276,6.28366887,-75.5936727,1
277,6.28382436,-75.586527,9
278,6.27894143,-75.58160056,7
279,6.27646235,-75.58174682,9
280,6.27693517,-75.58161182,3
281,6.27317239,-75.59338632,6
282,6.27560307,-75.59094384,1
283,6.29010721,-75.59197,6
284,6.27681022,-75.58106166,10
285,6.27699354,-75.59091045,2
286,6.27979795,-75.58404607,4
287,6.27485343,-75.57910926,6
288,6.26203911,-75.5839968,1
289,6.25956691,-75.57871237,1
290,6.28766347,-75.58242965,9
291,6.29190887,-75.56989057,9
292,6.27381509,-75.57808893,3
293,6.27933396,-75.57140211,9
294,6.31138038,-75.55816578,10
295,6.27043005,-75.57653914,4
296,6.30299194,-75.56703257,3
297,6.27901642,-75.57218363,9
298,6.27105754,-75.57358899,9
299,6.26702584,-75.57488357,3
300,6.279187,-75.57009328,9
301,6.30003778,-75.55928053,3
302,6.30690716,-75.56608932,8
303,6.30153796,-75.56435705,3
304,6.28659485,-75.57389911,1
305,6.28050263,-75.57298829,2
306,6.27109493,-75.56614288,9
307,6.26865093,-75.56647297,8
308,6.29069563,-75.56295939,1
309,6.26862461,-75.56565237,2
310,6.26729312,-75.56494437,10
311,6.26720011,-75.5634983,4
312,6.26593456,-75.56243599,1
313,6.28461447,-75.55694946,8
314,6.26781897,-75.55842113,5
315,6.26492676,-75.5692841,9
316,6.26245118,-75.55364161,8
317,6.29992172,-75.55745619,1
