id,latitude,longitude,demand
1,6.330313,-75.557731,3
2,6.324341,-75.564802,4
3,6.339078,-75.56404,12
4,6.165313,-75.621337,11
5,6.08673,-75.634566,3
6,6.23477,-75.572848,4
7,6.28661,-75.574179,6
8,6.242055,-75.618542,8
9,6.349485,-75.505182,8
10,6.148166,-75.621836,3
11,6.375113,-75.449558,4
12,6.166892,-75.580128,3
13,6.171281,-75.613242,8
14,6.157163,-75.64302,6
15,6.244572,-75.56986,5
16,6.168454,-75.581989,7
17,6.43651,-75.333209,5
18,6.276585,-75.564804,9
19,6.269267,-75.5653,3
20,6.265182,-75.566348,3
21,6.265161,-75.575066,3
22,6.259663,-75.578812,4
23,6.25649,-75.581024,6
24,6.253003,-75.582687,5
25,6.253349,-75.587692,5
26,6.249014,-75.588585,4
27,6.244998,-75.589188,4
28,6.260004,-75.585136,4
29,6.258628,-75.597366,5
30,6.271922,-75.591324,5
31,6.2434627,-75.5746534,6
32,6.245383,-75.584008,6
